reward,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37
0.0,0.9629629629629629,0.7407407407407407,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.0,0.0,0.0,0.0,0.0,1.5,0.625,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.5,0.2,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.7037037037037037,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6111111111111112,0.4444444444444444,0.2222222222222222,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.6666666666666666,0.5555555555555556,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.26666666666666666,1.0,1.0,1.0,1.0,0.0,0.0
1.0,1.0,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,0.75,0.0,0.0,0.0,0.75,0.875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.4583333333333333,0.20833333333333334,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.5555555555555556,0.5555555555555556,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.26666666666666666,1.0,1.0,1.0,1.0,0.0,0.0
1.0,0.8888888888888888,0.8518518518518519,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.25,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5217391304347826,0.4782608695652174,0.21739130434782608,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.5555555555555556,0.5185185185185185,0.8518518518518519,0.8518518518518519,0.8518518518518519,1.0,0.25,0.0,0.0,0.0,0.25,0.625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.35714285714285715,0.2857142857142857,1.0,1.0,1.0,1.0,0.0,0.0
1.0,0.8518518518518519,0.8148148148148148,0.5185185185185185,0.5185185185185185,0.5185185185185185,1.0,0.25,0.0,0.0,0.0,0.25,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.5,0.22727272727272727,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.5185185185185185,0.48148148148148145,0.8148148148148148,0.8148148148148148,0.8148148148148148,1.0,0.25,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.38461538461538464,0.3076923076923077,1.0,1.0,1.0,1.0,0.0,0.0
1.0,0.8148148148148148,0.8148148148148148,0.48148148148148145,0.48148148148148145,0.48148148148148145,1.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.5,0.22727272727272727,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.48148148148148145,0.4074074074074074,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.0,0.0,0.0,0.0,0.0,0.5,0.375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,0.36363636363636365,1.0,1.0,1.0,1.0,0.0,0.0
1.0,0.8148148148148148,0.7407407407407407,0.4074074074074074,0.4074074074074074,0.4074074074074074,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.55,0.45,0.25,1.0,1.0,1.0,1.0,0.0,0.0
1.0,0.7407407407407407,0.5925925925925926,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.0,0.0,0.0,0.0,0.0,1.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.5625,0.1875,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.4074074074074074,0.4074074074074074,0.5925925925925926,0.5925925925925926,0.5925925925925926,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,0.36363636363636365,1.0,1.0,1.0,1.0,0.0,0.0
